Name ↑,Featured,Downloads,Author,Latest Plugin Version,Created on,Stars (votes),Stable,Exp.
3D City Builder,—,25398,Arthur Ruf Hosang da Costa,"July 6, 2021","Oct. 7, 2020",(52),—,0.3
3DCityDB Tools,—,300,"Giorgio Agugiaro, Konstantinos Pantelios","June 2, 2023","June 2, 2023",(31),—,0.8.2
A-Maps,—,17359,Riccardo Klinger,"May 30, 2019","May 25, 2019",(21),—,0.2
AGIS,—,29540,"Matjaž Mori, ZVKDS CPA","Jan. 3, 2023","March 19, 2020",(20),1.4.1,—
AGT - Archaeological Geophysics Toolbox,—,57076,"INRAP - Guillaume Hulin, Francois-Xavier Simon, Nariman Hatami","Sept. 20, 2021","Aug. 29, 2017",(43),3.1.2,—
ALKIS Plugin,—,82,Sajjad Tabatabaei,"June 21, 2023","June 15, 2023",(0),—,0.2
ALS Downloader,—,3098,Matjaž Mori,"April 10, 2022","April 10, 2022",(2),1.1,—
AMIL-Assistente de Mapa Interativo Leaflet,—,5000,Givaldo Cesar,"Jan. 14, 2022","Jan. 6, 2022",(2),1.1.1,—
ANA Data Acquisition,—,11441,HGE-IPH,"Oct. 8, 2021","July 26, 2020",(10),1.0,—
APLS,—,90,Mohammed Nasser,"May 5, 2023","May 5, 2023",(1),—,0.1
ARPA data,—,695,Mathilde Puche,"Feb. 14, 2022","Feb. 14, 2022",(3),—,0.1
ARPAT plugin,—,16793,Martin Dobias (Faunalia),"June 18, 2012","June 18, 2012",(29),0.3.3,—
AcATaMa,—,109763,"Xavier Corredor Llano, SMByC","April 17, 2023","March 6, 2018",(70),23.4,—
Acca plugin,—,19342,Bastrakov Sergey,"Oct. 7, 2012","July 10, 2012",(26),0.3,0.2
AccurAssess,—,25782,"Jaime Loya, Jean F Mas","April 14, 2015","June 20, 2014",(34),0.2,0.1
Accuracy Assessment,—,92008,Jared Kibele,"Jan. 22, 2014","Jan. 25, 2013",(106),0.4.2,0.4.1
Actions for relations,—,11265,Denis Rouzaud,"Feb. 12, 2021","Dec. 4, 2020",(3),1.2.0,1.1.992
Active FIre,—,22696,The Map Workshop,"Feb. 19, 2022","Feb. 28, 2020",(12),0.3,—
Adaplin Tool,—,5707,"Marcel Rotunno, Guilherme Abelha and Pedro Ceccopieri","Oct. 19, 2020","May 2, 2018",(9),0.3,0.1
Add a point road sign,—,26428,"Piotr Michałowski, Olsztyn, woj. W-M, Poland","Feb. 27, 2020","March 2, 2019",(27),1.0.1,0.2.2
Add to Felt,—,556,Felt,"June 20, 2023","June 20, 2023",(9),1.0.0,—
Aderyn Data Search,—,11946,Biodiversity Information Service,"Sept. 11, 2019","Feb. 13, 2019",(1),1.0,0.3
Adjust Style,—,1941,Florian Neukirchen,"June 26, 2023","May 11, 2023",(1),1.2,0.2
AdressesFr,—,4071,Clément Zitouni,"April 21, 2023","Dec. 16, 2022",(4),1.1,—
Adresssuche,—,943,Thomas Knäuper,"April 5, 2023","April 5, 2023",(0),0.1,—
Advanced Line Editor,—,60804,"lwiniwar, TU Wien","Jan. 24, 2019","Nov. 10, 2017",(22),1.3,—
AemetOpenDataDownloader,—,755,Florentino Mostaza,"April 25, 2023","April 25, 2023",(1),0.1,—
AequilibraE,—,48509,Pedro Camargo,"May 5, 2023","Sept. 12, 2016",(74),0.8.9,0.7.3.3
Affine Transformations,—,78655,Mauricio de Paulo and Erik Timmers,"April 14, 2015","July 12, 2012",(105),1.0.2,—
Alloy Search Here,—,4397,Paul Withington,"Oct. 31, 2022","Feb. 20, 2021",(3),1.6,—
Altibase QGIS Plugin,—,1970,Altibase Corp.,"July 29, 2020","July 29, 2020",(2),—,0.1
Altitudecorrector,—,2038,Morten Sickel,"March 6, 2021","March 8, 2020",(4),—,0.2
AmigoCloud,—,26066,AmigoCloud,"March 10, 2021","Sept. 29, 2015",(19),0.18,—
Anaximandre,—,22745,F.Fouriaux,"April 20, 2021","July 5, 2017",(20),1.2,—
Andalusian Population,—,3089,Miguel Sanz,"March 4, 2023","June 1, 2021",(17),1.3,3.0
Animate OSM,—,55166,"510, an initiative of The Netherlands Red Cross","Oct. 24, 2018","Aug. 24, 2018",(21),0.3.0,0.2.0
Animove,—,46479,Matteo Ghetta (Faunalia),"June 30, 2022","Dec. 27, 2012",(127),3.0.1,1.4.2
Annotation to Label,—,6834,Valerio Pinna,"Aug. 2, 2022","April 18, 2022",(5),1.0.1,—
AnnotationManager,—,21362,Jérémy Kalsron,"May 27, 2019","Aug. 31, 2016",(10),0.5,0.4
AnotherDXFImporter,—,345155,EZUSoft,"May 3, 2023","June 28, 2016",(142),1.2.7,—
